0,1,2,3
Alaska Scientific Crime Detection Laboratory,AK,11-50,"“The DPS is only aware of one employee that received a demonstration while at a conference. The demonstration was on a personal device, not on a work device. The DPS does not used Clearview AI.” —Megan Peters, communications director, Alaska Department of Public Safety"
Anchorage Police Department,AK,11-50,This organization did not respond to a request for comment.
City of Anchorage,AK,51-100,This organization did not respond to a request for comment.
State of Alaska,AK,11-50,"“To the best of our knowledge, we cannot verify whether we used the free trial offer from Clearview AI.” —Kelly Kay Hanke, special assistant"
Ted Stevens Anchorage International Airport,AK,51-100,"“I’ve consulted all of staff at ANC, and there is no recollection or awareness of Clearview AI.” —Eland Conway, communications manager"
24th Judicial Circuit District Attorney’s Office,AL,51-100,"“My office does not use this Clearview [AI] tool. We collect property taxes and have nothing to do with any arrests.” —Michelle Kirk, revenue commissioner"
Abbeville Police Department,AL,6-10,This organization did not respond to a request for comment.
Alabama Attorney General’s Office,AL,101-500,"“This office has had no contracts with Clearview AI to use their software.” —Mike Lewis, communications director"
Alabama Department of Insurance,AL,51-100,"“This product has not been used in our office except for a demonstration more than a year ago. It was not utilized in any investigations.” —Jennifer Bowen, public information officer"
Alabama Department of Insurance: Alabama Fire Marshal,AL,1-5,"“This product has not been used in our office except for a demonstration more than a year ago. It was not utilized in any investigations.” —Jennifer Bowen, public information officer"
Alabama Department of Transportation’s Enforcement Office,AL,11-50,This organization did not respond to a request for comment.
Alabama Law Enforcement Agency,AL,1001-5000,This organization did not respond to a request for comment.
Alabaster Police Department,AL,11-50,This organization did not respond to a request for comment.
Albertville Police Department,AL,11-50,This organization did not respond to a request for comment.
Alexander City,AL,11-50,This organization did not respond to a request for comment.
Altoona Police Department,AL,1-5,"“We do not use Clearview AI.” —Rebecca Nash, spokesperson"
Anniston Police Department,AL,51-100,"“APD does not possess Clearview or any other facial recognition software.” —Nick Bowles, police chief"
Auburn Police Department,AL,101-500,This organization did not respond to a request for comment.
Baldwin County,AL,101-500,This organization did not respond to a request for comment.
Bessemer Police Department,AL,11-50,“Haven’t used a system called Clearview. That’s not something that’s installed in our jail or detectives. We have heard of different systems we dont have a facial recognition system installed. Possible someone signed up for a free trial.” —Capt. Darron Hunter
Birmingham Police Department,AL,101-500,This organization did not respond to a request for comment.
Blount County Sheriff’s Office,AL,6-10,This organization did not respond to a request for comment.
Brookside Police Department,AL,11-50,This organization did not respond to a request for comment.
Calhoun County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Carrollton Police Department,AL,1-5,This organization did not respond to a request for comment.
Cherokee County Sheriff’s Office,AL,51-100,This organization did not respond to a request for comment.
Chilton County Sheriff’s Office,AL,51-100,"“I’m not familiar with Clearview and we do not use it.” —John Shearon, spokesperson"
City of Arab,AL,6-10,This organization did not respond to a request for comment.
City of Ashville,AL,1-5,This organization did not respond to a request for comment.
City of Athens,AL,6-10,This organization did not respond to a request for comment.
City of Boaz,AL,11-50,This organization did not respond to a request for comment.
City of Calera,AL,101-500,This organization did not respond to a request for comment.
City of Centreville,AL,1-5,This organization did not respond to a request for comment.
City of Demopolis,AL,11-50,This organization did not respond to a request for comment.
City of Dora,AL,11-50,This organization did not respond to a request for comment.
City of Fayette,AL,11-50,This organization did not respond to a request for comment.
City of Florence,AL,101-500,"“Never heard of it and not aware of its use at our department.” —Ron Tyler, police chief"
City of Fort Payne,AL,6-10,This organization did not respond to a request for comment.
City of Greenville,AL,11-50,This organization did not respond to a request for comment.
City of Homewood,AL,51-100,This organization did not respond to a request for comment.
City of Huntsville,AL,101-500,This organization did not respond to a request for comment.
City of Jacksonville,AL,11-50,This organization did not respond to a request for comment.
City of Leeds,AL,51-100,This organization did not respond to a request for comment.
City of Montevallo,AL,1-5,This organization did not respond to a request for comment.
City of Mountain Brook,AL,501-1000,"“We tested this product two years ago, but did not purchase it. To our knowledge, it did not lead to any arrests.” —Sam Gaston, city manager"
City of Orange Beach,AL,101-500,This organization did not respond to a request for comment.
City of Oxford,AL,1001-5000,This organization did not respond to a request for comment.
City of Valley,AL,11-50,This organization did not respond to a request for comment.
City of Wetumpka,AL,1-5,This organization did not respond to a request for comment.
Coffee County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Collinsville Police Department,AL,6-10,"“I did use Clearview for a short period of time and liked it. Not sure really what happened best I can recall I got a new phone and was never able to retrieve it.” —Rex Leath, police chief"
Crenshaw County Sheriff’s Office,AL,51-100,This organization did not respond to a request for comment.
Daphne Police Department,AL,51-100,"“We had one detective who had access two or three years ago after attending a social media investigation course. He said he used it several times but was never successful in finding accurate matches and discontinued its use.” —Brian Gulsby, spokesperson"
